face_id,left_cell,right_cell,nx,ny,nz,area,fx,fy,fz,bc_type,bc_value
5389,1619,2807,-0.40824850458865314,0.8164965809276885,-0.4082480763390354,0.00444849925263435,0.7360021074612936,0.6196916699409485,0.5033813218275706,internal,0.0
5390,1619,5422,-0.20596961293359548,-0.5812537403215197,0.7872233532551153,0.005150687208277143,0.729497259928089,0.5781660435203136,0.5068622923960432,internal,0.0
5391,1619,2386,-0.3065337346946685,-0.03172978759224106,-0.9513307994979926,0.00793369405908666,0.7579076549145595,0.5781660435203136,0.4784518676072503,internal,0.0
5392,1620,2434,-0.4388186554386504,0.41124929273709476,0.7989444329002202,0.008036798321134783,0.9327044077034897,0.07291146839278444,0.2528162552088516,internal,0.0
5393,1621,4383,-0.998599814175644,0.0,-0.052900010665115266,0.010228488928946577,0.8943755720316382,0.19303904676416553,0.0798937479654948,internal,0.0
5394,1622,3264,-1.0,-0.0,0.0,0.007264365049937993,0.892259418964386,0.8043593366940817,0.3471239705880484,internal,0.0
5395,1622,2529,0.36377480646850635,0.0,0.9314869243198214,0.009858285255507316,0.9281729459762573,0.7942143731363784,0.3615090287820542,internal,0.0
5396,1622,1628,0.08319461111722153,-0.7046552214356379,-0.7046557142211695,0.006515855933779314,0.9281729459762573,0.7658039781499079,0.3330986139273688,internal,0.0
5397,1623,4734,0.9354534279176414,-0.0,-0.3534499741082661,0.005459472942825394,0.7067034776626698,0.3548155943644986,0.0798937479654948,internal,0.0
5398,1623,2964,0.0,-0.7668577677495247,-0.6418170798928742,0.00665975682231934,0.6782930429397694,0.3264051795098131,0.0798937479654948,internal,0.0
5399,1623,2954,-0.6661352213326874,0.6661356871800822,0.33545061211029453,0.007666735694852264,0.6782930429397694,0.3548155943644986,0.0798937479654948,internal,0.0
5400,1624,2512,0.31622769967271724,-0.9486833201652182,0.0,0.00574298804116887,0.8496437867482504,0.3639979163805644,0.247687503695488,internal,0.0
5401,1624,4352,-6.18124728599668e-08,-0.7071068120928036,-0.7071067502802875,0.005136683808454328,0.8354385693868002,0.3782031238079071,0.20507187147935235,internal,0.0
5402,1625,3223,-0.0,-0.0,1.0,0.003632181254923591,0.2388197680314382,0.6623072822888693,0.1198406219482422,internal,0.0
5403,1625,2920,-0.9464372735726047,0.0,-0.3228877315607618,0.005396109441233873,0.22403766905291722,0.6936145982648217,0.0798937479654948,internal,0.0
