face_id,left_cell,right_cell,nx,ny,nz,area,fx,fy,fz,bc_type,bc_value,source_fraction
55052,19706,29936,0.8343311253979686,-0.0,-0.5512636149721467,0.0018663406127770988,0.4528427665522629,0.22592446105842942,0.11071258786776521,internal,0.0,1.0
55053,19706,26647,-0.03942912263263244,-0.7259963671735606,0.6865672721148405,0.00178099451793985,0.4386375690590276,0.21171925859814042,0.12491779529510794,internal,0.0,1.0
55054,19708,19812,-0.6154568771069469,-0.4923657943626732,-0.6154581683293985,0.003688495546805219,0.49451353152592975,0.1367145776748657,0.5744073589642843,internal,0.0,1.0
55055,19708,34809,0.8574929362949405,0.5144957377901989,-0.0,0.002647380350756383,0.5087187389532725,0.1367145776748657,0.5744073589642843,internal,0.0,1.0
55056,19708,33755,-0.0,0.5144952086700576,0.8574932537667884,0.0026473849247859904,0.49451353152592975,0.1367145776748657,0.5886125365893046,internal,0.0,1.0
55057,19709,26349,-0.804843628088665,0.46467668533251655,0.36919143060675175,0.001769642467364915,0.4325788190551829,0.9193567916665165,0.018639062841733296,internal,0.0,1.0
55058,19709,31505,0.8328254286666109,0.480831985428643,0.27423057297651,0.0017101848896882456,0.4521866621924378,0.9193567916665163,0.018639062841733296,internal,0.0,1.0
55059,19709,-1,0.0,0.0,-1.0,0.0014983138473779628,0.44117647058823506,0.9150955486485836,0.0,example1,0.0,0.0
55060,19710,26351,-0.0,-0.8259963552411475,-0.5636754572698196,0.001442468502799421,0.3813655551742101,0.9236180346844494,0.03727812568346659,internal,0.0,1.0
55061,19711,31508,-9.413767093916407e-15,-0.9968388503688524,0.07945002451418605,0.0016498385785316272,0.4761958011225151,0.95054289929825,0.018639062841733296,internal,0.0,1.0
55062,19711,-1,0.0,0.0,-1.0,0.0014983138473779348,0.47058823529411636,0.9660382194594336,0.0,example1,0.0,0.0
55063,19712,27171,-0.7071070284364065,0.707106533936602,-0.0,0.0012841708959850497,0.1251780986785889,0.3782031238079071,0.3471239705880484,internal,0.0,1.0
55064,19712,31763,0.9486832759357955,-0.0,0.31622783236098495,0.0014357469098860661,0.13938330610593164,0.3782031238079071,0.3329187730948131,internal,0.0,1.0
55065,19713,23081,0.6396020677409325,0.4264016766888319,0.6396020677409325,0.0021295545512240066,0.2104093432426453,0.5060499608516693,0.09143020709355672,internal,0.0,1.0
55066,19714,23079,0.8164964857611945,0.4082486711302395,0.408248100130317,0.0011121239706066565,0.3098458349704742,0.5202551782131195,0.11984062194824219,internal,0.0,1.0
55067,19714,23077,0.0,-0.7071072756866978,-0.7071062866860514,0.0012841704469561096,0.30274322628974915,0.5131525695323944,0.11273801823457082,internal,0.0,1.0
55068,19715,27028,-0.40824829046380884,-0.4082480049643134,0.8164967236774655,0.0022242500151877656,0.23171715935071313,0.3853057324886322,0.07012239595254262,internal,0.0,1.0
