cell_id,cx,cy,cz,volume,sigma_t,sigma_s,q
168,0.9135672003030777,0.3782031238079071,0.1624562442302704,2.5797935049306044e-05,1.0,0.5,0.0
169,0.6327703112755974,0.6053572065557355,0.24144321272155347,3.82323190449831e-05,1.0,0.5,0.0
170,0.015313662588596346,0.7365795628112892,0.26961511749249445,3.0592896947422884e-05,1.0,0.5,0.0
171,0.8336628973484039,0.6179160177707672,0.26366836205124855,3.869700180089279e-05,1.0,0.5,0.0
172,0.8443168103694916,0.7244550287723541,0.17843710258603096,2.5797989173081194e-05,1.0,0.5,0.0
173,0.15713981539011004,0.6871663630008698,0.13049452751874924,7.739380514799385e-05,1.0,0.5,0.0
174,0.8443168103694916,0.6392238438129425,0.26366836205124855,2.579800044887556e-05,1.0,0.5,0.0
175,0.8230089843273163,0.6711855232715607,0.3488996177911759,7.739385927169326e-05,1.0,0.5,0.0
176,0.3865690884344714,0.33079999694918505,0.04193789139389992,1.692511958387734e-05,1.0,0.5,0.0
177,0.8656246364116669,0.6072621047496796,0.10385976359248161,2.5797989173081173e-05,1.0,0.5,0.0
178,0.8496437668800354,0.6125890612602234,0.23703358694911003,2.579799819371666e-05,1.0,0.5,0.0
179,0.015313662588596346,0.8240638594417002,0.4523230994055195,3.0592896947422844e-05,1.0,0.5,0.0
180,0.9671370387077332,0.671175065286019,0.5502036701694931,1.3262678530514915e-05,1.0,0.5,0.0
181,0.8336628973484039,0.6179160177707672,0.22105272486805919,1.289899458654059e-05,1.0,0.5,0.0
182,0.015313662588596346,0.8768026308240079,0.5230941195773529,2.4587165636240763e-05,1.0,0.5,0.0
183,0.12109033202537538,0.73666002924982,0.6344353302498286,8.671706044752974e-06,1.0,0.5,0.0
184,0.8389898538589478,0.6019351482391357,0.24768749624490738,2.5797998193716663e-05,1.0,0.5,0.0
185,0.8230089843273163,0.6072621047496796,0.2317066341638565,1.289899909685833e-05,1.0,0.5,0.0
186,0.3489101380109787,0.9428601264953613,0.6844977140426636,1.2898985565905125e-05,1.0,0.5,0.0
187,0.21573629602789882,0.10652850195765493,0.7324402928352356,1.2898967524665636e-05,1.0,0.5,0.0
188,0.15553507520052332,0.823469404021974,0.7687360754001253,4.029749397315722e-05,1.0,0.5,0.0
189,0.07125976372186998,0.688566405338987,0.6805024955373908,1.2113449035300197e-05,1.0,0.5,0.0
190,0.9455288499593735,0.19708672910928726,0.9295375645160675,1.289892242158277e-05,1.0,0.5,0.0
191,0.04594098776578904,0.3378999281455485,0.5502036701694931,1.854067254918131e-05,1.0,0.5,0.0
192,0.07190855965018274,0.4634343683719635,0.5033813267946243,1.2898990076226017e-05,1.0,0.5,0.0
193,0.41283357888460154,0.665858581662178,0.2796492315828801,5.159588813989572e-05,1.0,0.5,0.0
194,0.07190855965018274,0.26101015135645866,0.8123445510864258,1.2898985565909827e-05,1.0,0.5,0.0
195,0.1346023191323945,0.27087217880525943,0.9877113401889801,2.8525189465029656e-05,1.0,0.5,0.0
196,0.30799137517276004,0.014646479859948158,0.8469564522412876,3.309004749202136e-05,1.0,0.5,0.0
197,0.43414138257503504,0.6125890612602234,0.3116109520196915,5.159592422238722e-05,1.0,0.5,0.0
198,0.9890456795692444,0.6163825594327021,0.681810220414403,2.1884013320021527e-05,1.0,0.5,0.0
199,0.08256246894598009,0.8789366483688354,0.40749612450599676,1.2898999096858311e-05,1.0,0.5,0.0
200,0.5620800391407796,0.6813167084969405,0.3525710173286331,5.289552329761242e-05,1.0,0.5,0.0
201,0.04594098776578904,0.20194911145988614,0.9397444547443015,1.8540659583168274e-05,1.0,0.5,0.0
202,0.13050505146384242,0.08522068709135054,0.913556694984436,4.514641903608686e-05,1.0,0.5,0.0
203,0.09017302583536248,0.011433287838392016,0.9864994277072366,2.42126947460679e-05,1.0,0.5,0.0
204,0.9455288499593735,0.07989373430609702,0.5033813267946243,1.2898933697321952e-05,1.0,0.5,0.0
205,0.8975863754749298,0.8949175179004669,0.9348645061254501,1.9348487369493133e-05,1.0,0.5,0.0
206,0.7217969298362732,0.8789366483688354,0.5140352323651314,1.2898999096858345e-05,1.0,0.5,0.0
207,0.9890456795692444,0.6487259555078461,0.0588788290178214,1.922880189502638e-05,1.0,0.5,0.0
208,0.6046039015054703,0.8043593764305115,0.8762680292129517,1.289899458654059e-05,1.0,0.5,0.0
209,0.6937418671490251,0.26388682260333307,0.8076807859219215,3.401077405735562e-05,1.0,0.5,0.0
210,0.011444093676466418,0.9857405138138402,0.38311452072825947,2.5597944422382803e-05,1.0,0.5,0.0
211,0.9890456795692444,0.4961855486035338,0.2696151174924942,2.1884013320021283e-05,1.0,0.5,0.0
212,0.29564061760902405,0.5167038664221764,0.8762680292129517,1.2898990076222807e-05,1.0,0.5,0.0
213,0.9295480251312256,0.09587459452450273,0.5406700074672699,2.5797911370147305e-05,1.0,0.5,0.0
214,0.8762785494327545,0.7564167678356171,0.46609263867139816,2.579799819371669e-05,1.0,0.5,0.0
215,0.649762346657266,0.7674636534134018,0.013979297131299973,2.7926787030444752e-05,1.0,0.5,0.0
216,0.15765578458415527,0.6524694439816288,0.9631340205669403,2.975641613772355e-05,1.0,0.5,0.0
217,0.9455288499593735,0.47408828139305115,0.9295375645160675,1.28989314421678e-05,1.0,0.5,0.0
218,0.9780913591384888,0.5463916150962601,0.8691287195823698,1.585422546354038e-05,1.0,0.5,0.0
219,0.6898351907730103,0.38885702937841415,0.16245624423027039,2.5797975642137413e-05,1.0,0.5,0.0
220,0.015313662588596346,0.5396008949729789,0.12463844457432852,2.8518826351751624e-05,1.0,0.5,0.0
221,0.9780913591384888,0.7738730918470266,0.7521856192459058,1.8299829698269875e-05,1.0,0.5,0.0
222,0.6898351907730103,0.0905476417392492,0.7271133363246918,2.5797957600875844e-05,1.0,0.5,0.0
223,0.9780913591384888,0.5791043516467593,0.8457391388585701,1.830688267833627e-05,1.0,0.5,0.0
224,0.9330936343698126,0.9651355296373367,0.6691735413144614,1.4070418417535646e-05,1.0,0.5,0.0
225,0.9890456795692444,0.6490950058292058,0.6584208859415663,2.188336996855012e-05,1.0,0.5,0.0
226,0.11452419310808185,0.7510898113250732,0.2796492278575897,1.2898994586540605e-05,1.0,0.5,0.0
227,0.8709515929222107,0.43147265166044235,0.13049452751874924,1.2898981055596811e-05,1.0,0.5,0.0
228,0.9903188562408819,0.7359937187652112,0.011970854034883238,1.817906805194109e-05,1.0,0.5,0.0
